source_file,job_name,point_id,datetime_local,datetime_utc,latitude_dd,longitude_dd,ellipsoidal_elev_m,northing_m,easting_m,elevation_m,nor_min,nor_max,nor_avg,nor_sd,eas_min,eas_max,eas_avg,eas_sd,elv_min,elv_max,elv_avg,elv_sd,nrms_avg,nrms_sd,nrms_min,nrms_max,erms_avg,erms_sd,erms_min,erms_max,hrms_avg,hrms_sd,hrms_min,hrms_max,vrms_avg,vrms_sd,vrms_min,vrms_max,hdop_avg,hdop_min,hdop_max,vdop_avg,vdop_min,vdop_max,pdop_avg,pdop_min,pdop_max,age_avg,age_min,age_max,sats_avg,sats_min,sats_max,fix_hrms,fix_vrms,fix_status,fix_sats,fix_age,fix_pdop,fix_hdop,fix_vdop,fix_tdop,fix_gdop,fix_nrms,fix_erms,valid_readings_xy,valid_readings_z,g1_base_point,g1_dx,g1_dy,g1_dz,g2_vx,g2_vy,g2_vz,g3_xy,g3_xz,g3_yz,base_lat,base_lon,base_elev,rover_hr_m,projection,equipment,geoid_file,rtk_method
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,159,2025-12-09 10:14:18,2025-11-25 18:56:52,29.202168852544,-81.0341329828,-23.795874,554643.3475,194029.429,2.6764,554643.3449,554643.349,554643.3475,0.0014,194029.4271,194029.4307,194029.429,0.0013,2.6742,2.6789,2.6764,0.0015,0.005,0.0,0.005,0.005,0.006,0.0,0.006,0.006,0.008,0.0001,0.0078,0.0082,0.0105,0.0002,0.0102,0.0108,0.6357,0.6356,0.6357,0.9992,0.9991,0.9993,1.1842,1.1841,1.1844,0.6667,0.0,1.0,23,23,23,0.008,0.011,FIXED,23,1.0,1.184,0.636,0.999,0.684,1.368,0.005,0.006,6,6,0000_BASE_1,4202.85518,2925.99925,3976.30801,5.283e-05,0.00014848,9.805e-05,-2.578e-05,2.229e-05,-7.213e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,167,2025-12-09 10:14:19,2025-12-09 15:14:26,29.201487082405,-81.033798640447,-24.19085,554433.4007,194119.5122,2.2785,554433.3985,554433.403,554433.4007,0.0023,194119.5117,194119.5127,194119.5122,0.0005,2.2766,2.2804,2.2785,0.0019,0.006,0.0,0.006,0.006,0.006,0.0,0.006,0.006,0.0083,0.0001,0.0083,0.0084,0.0131,0.0001,0.013,0.0132,0.8254,0.8254,0.8254,1.3068,1.3068,1.3068,1.5456,1.5456,1.5456,1.0,1.0,1.0,25,25,25,0.008,0.013,FIXED,25,1.0,1.546,0.825,1.307,0.939,1.809,0.006,0.006,2,2,0000_BASE_1,4307.88842,2838.75242,3793.12943,3.782e-05,0.00014343,6.011e-05,-5.98e-06,6.95e-06,-5.7e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,168,2025-12-09 10:16:13,2025-12-09 15:16:21,29.201487510079,-81.033761401893,-24.712091,554433.5272,194129.5579,1.7572,554433.5228,554433.5349,554433.5272,0.0048,194129.554,194129.5645,194129.5579,0.0042,1.7548,1.7609,1.7572,0.0023,0.0072,0.0004,0.007,0.008,0.008,0.0,0.008,0.008,0.0104,0.0002,0.0101,0.0105,0.0162,0.0002,0.0159,0.0165,0.822,0.822,0.8221,1.3081,1.3081,1.3081,1.5449,1.5449,1.545,1.0,1.0,1.0,25,25,25,0.011,0.017,FIXED,25,1.0,1.545,0.822,1.308,0.941,1.809,0.007,0.008,4,4,0000_BASE_1,4317.73192,2840.82611,3792.98883,5.841e-05,0.00021994,9.291e-05,-1.018e-05,1.112e-05,-8.72e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,169,2025-12-09 10:20:34,2025-12-09 15:20:49,29.201519651269,-81.033835516664,-23.626284,554443.433,194109.5695,2.8432,554443.4251,554443.4384,554443.433,0.0041,194109.565,194109.5728,194109.5695,0.0026,2.837,2.8456,2.8432,0.0028,0.011,0.0,0.011,0.011,0.012,0.0,0.012,0.012,0.016,0.0001,0.0159,0.0162,0.0251,0.0001,0.0249,0.0253,0.8156,0.8156,0.8157,1.3095,1.3095,1.3095,1.5427,1.5427,1.5427,0.8333,0.0,1.0,25,25,25,0.016,0.025,FIXED,25,1.0,1.543,0.816,1.309,0.944,1.809,0.011,0.012,6,6,0000_BASE_1,4297.3045,2841.59113,3802.20125,0.00011943,0.00044317,0.00018945,-2.689e-05,2.559e-05,-0.00017581,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,170,2025-12-09 10:22:11,2025-12-09 15:22:26,29.201519833061,-81.033798621259,-24.446302,554443.4838,194119.5226,2.0232,554443.4691,554443.4909,554443.4838,0.0075,194119.5177,194119.5295,194119.5226,0.0037,2.0202,2.0272,2.0232,0.0026,0.01,0.0,0.01,0.01,0.011,0.0,0.011,0.011,0.0147,0.0001,0.0146,0.0149,0.023,0.0001,0.0229,0.0233,0.8138,0.8137,0.8138,1.3094,1.3094,1.3094,1.5417,1.5417,1.5417,1.0,1.0,1.0,25,25,25,0.015,0.023,FIXED,25,1.0,1.542,0.814,1.309,0.945,1.808,0.01,0.011,6,6,0000_BASE_1,4307.09122,2843.85371,3801.79467,0.00011919,0.00043754,0.00018868,-3.07e-05,2.735e-05,-0.00017368,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,171,2025-12-09 10:26:37,2025-12-09 15:26:50,29.201519735693,-81.033761373464,-24.736214,554443.4486,194129.5707,1.7333,554443.4376,554443.4609,554443.4486,0.0072,194129.5577,194129.587,194129.5707,0.0099,1.7261,1.7377,1.7333,0.0037,0.007,0.0,0.007,0.007,0.008,0.0,0.008,0.008,0.0108,0.0002,0.0104,0.0109,0.0168,0.0003,0.0162,0.017,0.8102,0.8101,0.8102,1.3079,1.3079,1.308,1.5385,1.5385,1.5386,0.8333,0.0,1.0,24,24,24,0.01,0.016,FIXED,24,0.0,1.538,0.81,1.308,0.947,1.806,0.007,0.008,6,6,0000_BASE_1,4316.93572,2845.60219,3801.58048,7.636e-05,0.00027652,0.00012174,-2.283e-05,1.879e-05,-0.00010992,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,172,2025-12-09 10:29:42,2025-12-09 15:29:57,29.201552343818,-81.03383559211,-23.998402,554453.4982,194109.5544,2.4712,554453.4931,554453.5068,554453.4982,0.0044,194109.5492,194109.5609,194109.5544,0.0042,2.469,2.4728,2.4712,0.0013,0.006,0.0,0.006,0.006,0.006,0.0,0.006,0.006,0.0081,0.0001,0.008,0.0082,0.0122,0.0001,0.012,0.0123,0.8088,0.8088,0.8088,1.3057,1.3057,1.3058,1.5359,1.5359,1.536,1.0,1.0,1.0,24,24,24,0.008,0.012,FIXED,24,1.0,1.536,0.809,1.306,0.947,1.804,0.006,0.006,6,6,0000_BASE_1,4296.53702,2846.76292,3810.74013,3.373e-05,0.00012772,5.315e-05,-8.61e-06,9.4e-06,-4.409e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,173,2025-12-09 10:32:08,2025-12-09 15:32:22,29.201552201823,-81.033798719816,-24.569703,554453.4494,194119.5011,1.8999,554453.4417,554453.4585,554453.4494,0.0053,194119.4972,194119.5054,194119.5011,0.0034,1.895,1.9054,1.8999,0.0032,0.0083,0.0005,0.008,0.009,0.009,0.0,0.009,0.009,0.0122,0.0002,0.012,0.0125,0.0189,0.0002,0.0187,0.0194,0.8084,0.8084,0.8084,1.3034,1.3034,1.3035,1.5337,1.5337,1.5338,1.0,1.0,1.0,24,24,24,0.012,0.019,FIXED,24,1.0,1.534,0.808,1.303,0.947,1.802,0.008,0.009,6,6,0000_BASE_1,4306.28948,2848.77946,3810.42211,8.342e-05,0.00029214,0.00013188,-3.176e-05,2.333e-05,-0.00011627,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,174,2025-12-09 10:36:17,2025-12-09 15:36:32,29.201584492023,-81.033872904414,-23.077659,554463.4011,194099.494,3.3921,554463.3912,554463.4103,554463.4011,0.006,194099.48,194099.5015,194099.494,0.0082,3.3856,3.3992,3.3921,0.0041,0.006,0.0,0.006,0.006,0.006,0.0,0.006,0.006,0.0081,0.0001,0.008,0.0083,0.0125,0.0002,0.0124,0.0128,0.809,0.8089,0.809,1.2982,1.2981,1.2983,1.5296,1.5296,1.5297,0.8333,0.0,1.0,24,24,24,0.008,0.013,FIXED,24,0.0,1.53,0.809,1.298,0.946,1.798,0.006,0.006,6,6,0000_BASE_1,4285.96084,2849.19394,3819.83194,4.062e-05,0.0001401,6.445e-05,-1.717e-05,1.21e-05,-5.602e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,175,2025-12-09 10:38:09,2025-12-09 15:38:24,29.20158479448,-81.033835459202,-24.304829,554463.4889,194109.5954,2.1649,554463.4816,554463.4963,554463.4889,0.0052,194109.5885,194109.6008,194109.5954,0.004,2.1594,2.1682,2.1649,0.0028,0.008,0.0,0.008,0.008,0.008,0.0,0.008,0.008,0.0112,0.0001,0.0111,0.0113,0.0173,0.0001,0.0171,0.0174,0.8097,0.8097,0.8097,1.2954,1.2954,1.2955,1.5277,1.5276,1.5277,1.0,1.0,1.0,24,24,24,0.011,0.017,FIXED,24,1.0,1.528,0.81,1.295,0.945,1.796,0.008,0.008,6,6,0000_BASE_1,4295.77026,2851.8682,3819.29987,7.088e-05,0.0002408,0.00011172,-3.212e-05,2.184e-05,-9.621e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_12-09-2025(TDS).rw5,BP 2025-11-25 FINAL,176,2025-12-09 10:40:15,2025-12-09 15:40:30,29.201585135892,-81.033798297022,-24.617716,554463.5889,194119.6204,1.852,554463.5851,554463.5929,554463.5889,0.0024,194119.6139,194119.6265,194119.6204,0.005,1.8496,1.8561,1.852,0.0023,0.0083,0.0005,0.008,0.009,0.0088,0.0004,0.008,0.009,0.0121,0.0002,0.0118,0.0123,0.0186,0.0002,0.0182,0.0189,0.8109,0.8109,0.8109,1.292,1.2919,1.2921,1.5254,1.5253,1.5254,1.0,1.0,1.0,24,24,24,0.012,0.019,FIXED,24,1.0,1.525,0.811,1.292,0.944,1.794,0.009,0.009,6,6,0000_BASE_1,4305.62363,2853.74639,3819.2382,8.281e-05,0.00027996,0.0001308,-3.902e-05,2.629e-05,-0.00011028,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
